estado;nome;Unemployed_2007;Unemployed_2008;Unemployed_2009;Unemployed_2010;Unemployed_2011;Unemployed_2012;Unemployed_2013;Unemployed_2014;Unemployed_2015;Unemployed_2016;quantidade
DC;District of Columbia;17811;21352;31172;32557;35607;33005;31785;29353;26650;23602;28289
FL;Florida;367354;578360;946702;1018407;928904;794324;683672;601461;520792;480364;692034
GA;Georgia;218178;304243;475895;494624;485449;439284;391220;338590;285343;264209;369704
GA;Appling County, GA;480;653;955;1036;1097;1007;936;766;632;594;816
GA;Atkinson County, GA;192;282;492;526;448;398;327;276;222;211;337
GA;Bacon County, GA;227;299;436;483;473;441;392;339;280;262;363
GA;Baker County, GA;83;107;147;149;136;129;120;101;81;91;114
GA;Baldwin County, GA;1155;1656;2533;2949;2563;2192;1886;1614;1357;1221;1913
GA;Banks County, GA;318;499;805;817;786;706;633;541;457;428;599
GA;Barrow County, GA;1416;2229;3736;3731;3444;2985;2573;2215;1896;1768;2599
GA;Bartow County, GA;2245;3344;5633;5830;5467;4706;4089;3346;2751;2473;3988
GA;Ben Hill County, GA;543;817;1138;1035;975;862;723;560;492;457;760
GA;Berrien County, GA;382;604;1071;1039;982;805;710;619;504;446;716
GA;Bibb County, GA;3836;4890;7256;8172;8188;7561;6506;5547;4511;4118;6059
GA;Bleckley County, GA;280;393;543;682;733;665;673;521;372;316;518
GA;Brantley County, GA;339;491;822;952;983;894;752;638;514;482;687
GA;Brooks County, GA;360;479;688;704;707;624;558;477;416;368;538
GA;Bryan County, GA;569;841;1330;1385;1378;1257;1151;1003;846;819;1058
GA;Bulloch County, GA;1399;2017;3097;3330;3521;3324;2974;2534;2101;2045;2634
GA;Burke County, GA;771;869;1180;1190;1263;1201;1140;922;740;716;999
GA;Butts County, GA;523;782;1221;1203;1188;1064;951;753;671;587;894
GA;Calhoun County, GA;143;193;263;230;212;185;172;149;132;128;181
GA;Camden County, GA;867;1195;1855;2052;2021;1879;1681;1453;1234;1166;1540
GA;Candler County, GA;195;273;403;435;484;450;418;351;282;245;354
GA;Carroll County, GA;2552;3621;5783;6055;5896;5337;5007;4263;3473;3201;4519
GA;Catoosa County, GA;1276;1830;2922;2686;2629;2410;2138;1910;1635;1558;2099
GA;Charlton County, GA;218;309;489;509;528;465;417;355;304;276;387
GA;Chatham County, GA;5286;7602;11339;12546;12989;12185;10902;9648;7774;7124;9740
GA;Chattahoochee County, GA;161;312;389;242;274;305;271;217;185;178;253
GA;Chattooga County, GA;643;1107;1434;1246;1167;1090;952;802;650;665;976
GA;Cherokee County, GA;3968;5923;9775;9891;9301;8151;7134;6483;5616;5289;7153
GA;Clarke County, GA;2487;3367;4869;5276;5321;5065;4542;3908;3470;3323;4163
GA;Clay County, GA;82;107;121;128;131;126;109;104;101;93;110
GA;Clayton County, GA;7762;10368;15684;16913;17035;15357;13521;11616;9614;8574;12644
GA;Early County, GA;297;367;580;525;511;456;401;390;302;309;414
GA;Echols County, GA;69;95;159;154;152;133;113;104;87;83;115
GA;Effingham County, GA;941;1401;2356;2467;2388;2172;1881;1636;1387;1356;1799
GA;Elbert County, GA;559;841;1229;1329;1418;1076;909;696;565;506;913
GA;Emanuel County, GA;558;796;1130;1172;1218;1123;1111;899;726;660;939
GA;Evans County, GA;214;316;434;433;439;411;361;306;260;240;341
GA;Fannin County, GA;412;684;1135;1201;1160;1024;882;749;625;573;845
GA;Fayette County, GA;2050;2787;4305;4363;4264;4040;3593;3281;2803;2646;3413
GA;Floyd County, GA;2341;3251;5224;5337;5412;4895;4171;3428;2864;2628;3955
GA;Forsyth County, GA;2782;4239;7180;7092;6747;6208;5692;5279;4724;4517;5446
GA;Franklin County, GA;510;731;1219;1230;1185;1077;915;752;582;514;872
GA;Fulton County, GA;23482;32008;49237;50687;50827;46512;41231;36092;30731;28521;38933
GA;Gilmer County, GA;506;827;1414;1445;1455;1284;1074;870;707;668;1025
GA;Glascock County, GA;57;77;129;146;142;128;123;102;82;78;106
GA;Glynn County, GA;1461;2094;3417;3832;3989;3677;3247;2768;2284;2071;2884
GA;Gordon County, GA;1260;1973;3308;3319;3069;2629;2328;1902;1540;1421;2275
GA;Grady County, GA;493;719;1142;1090;1030;929;813;768;626;571;818
GA;Greene County, GA;397;517;861;845;787;712;632;527;452;399;613
GA;Gwinnett County, GA;16699;23784;37547;38574;37209;33687;30225;26925;23383;22141;29017
GA;Habersham County, GA;802;1190;2025;1957;1926;1754;1554;1322;1074;1021;1463
GA;Hall County, GA;3254;5029;8406;8341;7773;6935;6151;5318;4503;4300;6001
GA;Hancock County, GA;277;437;645;711;586;468;389;295;243;213;426
GA;Haralson County, GA;602;849;1523;1519;1422;1238;1113;943;775;713;1070
GA;Harris County, GA;574;770;1191;1266;1215;1173;1037;941;821;781;977
GA;Hart County, GA;702;940;1407;1262;1248;1114;969;780;644;596;966
GA;Heard County, GA;244;375;638;634;585;529;473;394;314;298;448
GA;Henry County, GA;4204;6067;9491;10455;10602;9694;8753;7515;6466;5950;7920
GA;Houston County, GA;2636;3643;5092;5677;5840;5530;5092;4495;3820;3611;4544
GA;Irwin County, GA;259;420;614;539;487;416;359;299;262;249;390
GA;Jackson County, GA;1115;1720;3002;2996;2771;2417;2050;1748;1485;1410;2071
GA;Jasper County, GA;309;547;810;804;749;653;541;423;355;318;551
GA;Jeff Davis County, GA;357;519;738;815;820;737;636;523;422;394;596
GA;Jefferson County, GA;504;704;1028;1007;944;937;960;750;574;492;790
GA;Jenkins County, GA;295;449;531;491;460;462;411;326;258;240;392
GA;Johnson County, GA;218;296;443;459;462;405;394;339;270;243;353
GA;Jones County, GA;594;838;1227;1332;1273;1179;995;866;742;665;971
GA;Lamar County, GA;397;588;1103;1162;1114;963;886;745;589;514;806
GA;Lanier County, GA;150;245;375;408;415;366;331;306;252;219;307
GA;Muscogee County, GA;4454;5328;7822;8234;8304;8185;7783;6819;5876;5407;6821
GA;Newton County, GA;2430;3585;5768;6078;5975;5318;4681;3936;3267;2974;4401
GA;Oconee County, GA;535;764;1156;1202;1183;1076;962;876;777;750;928
GA;Oglethorpe County, GA;297;414;664;683;680;588;512;442;372;340;499
GA;Paulding County, GA;2679;4066;6874;7383;7097;6191;5385;4609;3963;3642;5189
